rn,id,e_btc,d_btc,btc,vl_btc,m_btc,pm_btc,e_eth,d_eth,eth,vl_eth,m_eth,pm_eth,e_bnb,d_bnb,bnb,vl_bnb,m_bnb,pm_bnb,e_shib,d_shib,shib,vl_shib,m_shib,pm_shib,total_net_balance_usdt
2000,00000000000000000000000000000000000000000000000000000000000007d0,464.93784576,232.46892288,232.46892288,232.46892288,116.23446144,232.46892288,954.34264088,477.17132044,477.17132044,477.17132044,238.58566022,477.17132044,159.50308509,79.75154255,79.75154254000002,79.75154255,39.87577127,79.75154255,600.76,300.38,300.38,300.38,150.19,300.38,0.0
2001,00000000000000000000000000000000000000000000000000000000000007d1,18652.62978742,15317.26595555,3335.3638318699996,9326.31489371,4663.15744685,2331.57872343,464021.51388199,362241.05596852,101780.45791346999,232010.75694099,116005.3784705,58002.68923525,151309.43309523,132764.57070148,18544.862393749994,75654.71654761,37827.35827381,18913.6791369,1665342808681.43,1021696843245.71,643645965435.72,832671404340.71,416335702170.36,208167851085.18,0.0
2002,00000000000000000000000000000000000000000000000000000000000007d2,592.06680522,296.03340261,296.03340261,296.03340261,148.0167013,296.03340261,248.81428546,124.40714273,124.40714273,124.40714273,62.20357137,124.40714273,993.46830683,496.73415341,496.73415342,496.73415341,248.36707671,496.73415341,210.66,105.33,105.33,105.33,52.66,105.33,0.0
2003,00000000000000000000000000000000000000000000000000000000000007d3,2259.83808102,1982.86667622,276.9714048000001,1129.91904051,564.95952026,282.47976013,207357.72880755,176921.54629533,30436.182512220024,103678.86440378,51839.43220189,25919.71610094,2969961.42014423,2020594.27828095,949367.1418632802,1484980.71007212,742490.35503606,371245.17751803,6435998966938.6,2829469442595.49,3606529524343.1094,3217999483469.3,1608999741734.65,804499870867.32,0.0
2004,00000000000000000000000000000000000000000000000000000000000007d4,244.70829141,122.3541457,122.35414570999998,122.3541457,61.17707285,122.3541457,476.1368406,238.0684203,238.0684203,238.0684203,119.03421015,238.0684203,732.23344727,366.11672364,366.1167236300001,366.11672364,183.05836182,366.11672364,736.7,368.35,368.35,368.35,184.18,368.35,0.0
2005,00000000000000000000000000000000000000000000000000000000000007d5,10023.89112507,8592.69972309,1431.1914019800006,5011.94556254,2505.97278127,1252.98639063,173957.73277389,149301.83707524,24655.895698649983,86978.86638694,43489.43319347,21744.71659674,2867400.50940488,1974627.76009895,892772.74930593,1433700.25470244,716850.12735122,358425.06367561,874691602657.07,537571226656.9,337120376000.1699,437345801328.53,218672900664.27,109336450332.13,0.0
2006,00000000000000000000000000000000000000000000000000000000000007d6,868.43399852,434.21699926,434.21699926,434.21699926,217.10849963,434.21699926,255.95021037,127.97510519,127.97510518000001,127.97510519,63.98755259,127.97510519,615.81669507,307.90834754,307.90834753,307.90834754,153.95417377,307.90834754,953.68,476.84,476.84,476.84,238.42,476.84,0.0
2007,00000000000000000000000000000000000000000000000000000000000007d7,17210.24430384,14264.41136845,2945.832935390001,8605.12215192,4302.56107596,2151.28053798,681219.64756465,467810.77508819,213408.87247646006,340609.82378233,170304.91189116,85152.45594558,1904929.44428541,1517135.83072661,387793.61355879996,952464.7221427,476232.36107135,238116.18053568,6671146543947.44,2866578669592.2,3804567874355.24,3335573271973.72,1667786635986.86,833893317993.43,0.0
2008,00000000000000000000000000000000000000000000000000000000000007d8,464.16400323,232.08200161,232.08200162,232.08200161,116.04100081,232.08200161,767.08789328,383.54394664,383.54394664,383.54394664,191.77197332,383.54394664,92.80742527,46.40371263,46.403712639999995,46.40371263,23.20185632,46.40371263,277.81,138.91,138.9,138.91,69.45,138.91,0.0
2009,00000000000000000000000000000000000000000000000000000000000007d9,23516.04993374,18692.00219626,4824.047737479999,11758.02496687,5879.01248343,2939.50624172,570052.0793688,417986.86061741,152065.21875139006,285026.0396844,142513.0198422,71256.5099211,2222981.07218477,1685807.02357986,537174.0486049098,1111490.53609238,555745.26804619,277872.6340231,6596310124780.92,2854768547192.48,3741541577588.44,3298155062390.46,1649077531195.23,824538765597.61,0.0
2010,00000000000000000000000000000000000000000000000000000000000007da,553.6204621,129.97429988,0,276.81023105,138.40511553,69.20255776,819.14070853,2333.30167169,0,409.57035426,204.78517713,102.39258857,595.85796845,14786.02697371,0,297.92898423,148.96449211,74.48224606,413.45,345336908508.89,0,206.72,103.36,51.68,0.0
2011,00000000000000000000000000000000000000000000000000000000000007db,994.66900821,217.52719609,0,497.33450411,248.66725205,124.33362603,279.85673611,3905.0533122,0,139.92836805,69.96418403,34.98209201,161.85045972,24746.14590503,0,80.92522986,40.46261493,20.23130747,18.89,577961716121.78,0,9.45,4.72,2.36,0.0
2012,00000000000000000000000000000000000000000000000000000000000007dc,52.59639226,16.19695855,0,26.29819613,13.14909807,6.57454903,357.07964612,290.76817869,0,178.53982306,89.26991153,44.63495577,323.31486956,1842.5847739,0,161.65743478,80.82871739,40.41435869,245.24,43034719915.95,0,122.62,61.31,30.66,0.0
2013,00000000000000000000000000000000000000000000000000000000000007dd,486.48938066,115.17487805,0,243.24469033,121.62234516,60.81117258,869.07265756,2067.62210481,0,434.53632878,217.26816439,108.6340822,86.22537564,13102.42759613,0,43.11268782,21.55634391,10.77817195,39.35,306015391967.82,0,19.68,9.84,4.92,0.0
2014,00000000000000000000000000000000000000000000000000000000000007de,928.41730137,205.19994037,0,464.20865069,232.10432534,116.05216267,347.17025068,3683.75412928,0,173.58512534,86.79256267,43.39628133,750.01458329,23343.78300974,0,375.00729165,187.50364582,93.75182291,147.26,545208653535.91,0,73.63,36.81,18.41,0.0
2015,00000000000000000000000000000000000000000000000000000000000007df,359.11639027,80.89014445,0,179.55819514,89.77909757,44.88954878,173.14504289,1452.1417652,0,86.57252145,43.28626072,21.64313036,846.908924,9202.15657086,0,423.454462,211.727231,105.8636155,348.71,214922122585.29,0,174.35,87.18,43.59,0.0
2016,00000000000000000000000000000000000000000000000000000000000007e0,954.97005295,208.26078042,0,477.48502647,238.74251324,119.37125662,142.67155635,3738.7024014,0,71.33577818,35.66788909,17.83394454,644.68085792,23691.9877205,0,322.34042896,161.17021448,80.58510724,110.43,553341192354.97,0,55.22,27.61,13.8,0.0
2017,00000000000000000000000000000000000000000000000000000000000007e1,339.72761135,75.38013029,0,169.86380568,84.93190284,42.46595142,71.20029151,1353.22586212,0,35.60014575,17.80007288,8.90003644,783.36211859,8575.33097484,0,391.6810593,195.84052965,97.92026482,578.22,200282218716.09,0,289.11,144.56,72.28,0.0
2018,00000000000000000000000000000000000000000000000000000000000007e2,72.48964388,20.45809235,0,36.24482194,18.12241097,9.06120549,351.36912187,367.26415239,0,175.68456094,87.84228047,43.92114023,350.91722502,2327.3362933,0,175.45861251,87.72930625,43.86465313,391.19,54356394859.81,0,195.59,97.8,48.9,0.0
2019,00000000000000000000000000000000000000000000000000000000000007e3,499.68091076,120.07211342,0,249.84045538,124.92022769,62.46011385,918.90871559,2155.5373887,0,459.4543578,229.7271789,114.86358945,860.77782762,13659.5427668,0,430.38891381,215.19445691,107.59722845,109.7,319027165249.74,0,54.85,27.43,13.71,0.0
2020,00000000000000000000000000000000000000000000000000000000000007e4,692.87050519,156.32744545,0,346.4352526,173.2176263,86.60881315,516.62601227,2806.3939574,0,258.31300614,129.15650307,64.57825153,614.64068995,17783.99135292,0,307.32034498,153.66017249,76.83008624,412.83,415356241787.1,0,206.41,103.21,51.6,0.0
2021,00000000000000000000000000000000000000000000000000000000000007e5,878.46410058,189.23541037,0,439.23205029,219.61602515,109.80801257,8.5555942,3397.15851312,0,4.2777971,2.13889855,1.06944927,131.96938938,21527.63957556,0,65.98469469,32.99234734,16.49617367,726.7,502791487647.83,0,363.35,181.68,90.84,0.0
2022,00000000000000000000000000000000000000000000000000000000000007e6,872.81866203,188.68319839,0,436.40933102,218.20466551,109.10233275,22.40292287,3387.24519084,0,11.20146144,5.60073072,2.80036536,394.28503933,21464.81930139,0,197.14251967,98.57125983,49.28562992,685.33,501324280851.05,0,342.67,171.33,85.67,0.0
2023,00000000000000000000000000000000000000000000000000000000000007e7,110.28642646,26.53606021,0,55.14321323,27.57160662,13.78580331,140.76502092,476.37597348,0,70.38251046,35.19125523,17.59562762,601.45086342,3018.77295979,0,300.72543171,150.36271586,75.18135793,690.57,70505330693.52,0,345.29,172.64,86.32,0.0
2024,00000000000000000000000000000000000000000000000000000000000007e8,949.06664489,205.71322931,0,474.53332245,237.26666122,118.63333061,41.77799693,3692.96870427,0,20.88899847,10.44449923,5.22224962,607.75076629,23402.17535395,0,303.87538315,151.93769157,75.96884579,293.37,546572443258.91,0,146.69,73.34,36.67,0.0
2025,00000000000000000000000000000000000000000000000000000000000007e9,296.6178412,72.0644681,0,148.3089206,74.1544603,37.07723015,667.91400828,1293.70301693,0,333.95700414,166.97850207,83.48925103,151.97050688,8198.13740177,0,75.98525344,37.99262672,18.99631336,899.05,191472626885.44,0,449.52,224.76,112.38,0.0
2026,00000000000000000000000000000000000000000000000000000000000007ea,547.35441393,130.72030775,0,273.67720696,136.83860348,68.41930174,930.49771614,2346.69402234,0,465.24885807,232.62442903,116.31221452,997.72678341,14870.89369299,0,498.86339171,249.43169585,124.71584793,843.31,347319023820.93,0,421.65,210.83,105.41,0.0
2027,00000000000000000000000000000000000000000000000000000000000007eb,636.69026368,138.1834718,0,318.34513184,159.17256592,79.58628296,43.98007745,2480.67291781,0,21.99003873,10.99501936,5.49750968,401.23397159,15719.91188314,0,200.6169858,100.3084929,50.15424645,289.6,367148374705.81,0,144.8,72.4,36.2,0.0
2028,00000000000000000000000000000000000000000000000000000000000007ec,198.19262104,49.26961039,0,99.09631052,49.54815526,24.77407763,479.24482532,884.48919804,0,239.62241266,119.81120633,59.90560317,484.1490027,5604.96797258,0,242.07450135,121.03725067,60.51862534,754.63,130907532860.78,0,377.31,188.66,94.33,0.0
2029,00000000000000000000000000000000000000000000000000000000000007ed,337.06475624,82.54531919,0,168.53237812,84.26618906,42.13309453,713.99085427,1481.85550083,0,356.99542713,178.49771357,89.24885678,803.93815422,9390.45116722,0,401.96907711,200.98453856,100.49226928,58.71,219319860660.01,0,29.36,14.68,7.34,0.0
2030,00000000000000000000000000000000000000000000000000000000000007ee,138.57522764,35.20281683,0,69.28761382,34.64380691,17.32190346,420.83725453,631.96179122,0,210.41862726,105.20931363,52.60465682,193.91448719,4004.71323738,0,96.95724359,48.4786218,24.2393109,854.24,93532582574.07,0,427.12,213.56,106.78,0.0
2031,00000000000000000000000000000000000000000000000000000000000007ef,620.77798347,139.1058553,0,310.38899173,155.19449587,77.59724793,329.10150012,2497.23156801,0,164.55075006,82.27537503,41.13768752,892.64947561,15824.84329919,0,446.3247378,223.1623689,111.58118445,948.21,369599113561.38,0,474.11,237.05,118.53,0.0
2032,00000000000000000000000000000000000000000000000000000000000007f0,420.69173708,93.062243,0,210.34586854,105.17293427,52.58646713,202.2002817,1670.65556309,0,101.10014085,50.55007043,25.27503521,97.95746858,10586.86860743,0,48.97873429,24.48936714,12.24468357,91.84,247262938325.33,0,45.92,22.96,11.48,0.0
2033,00000000000000000000000000000000000000000000000000000000000007f1,880.96330552,200.08549557,0,440.48165276,220.24082638,110.12041319,746.03187755,3591.93949648,0,373.01593877,186.50796939,93.25398469,914.90116669,22761.95784178,0,457.45058334,228.72529167,114.36264584,176.7,531619762811.32,0,88.35,44.17,22.09,0.0
2034,00000000000000000000000000000000000000000000000000000000000007f2,994.9118429,226.79710038,0,497.45592145,248.72796073,124.36398036,930.95744659,4071.46685075,0,465.4787233,232.73936165,116.36968082,912.78036888,25800.70095884,0,456.39018444,228.19509222,114.09754611,625.94,602591509019.12,0,312.97,156.49,78.24,0.0
2035,00000000000000000000000000000000000000000000000000000000000007f3,133.48377195,40.27643378,0,66.74188598,33.37094299,16.68547149,849.4428725,723.0434812,0,424.72143625,212.36071813,106.18035906,741.4356019,4581.89377997,0,370.71780095,185.35890048,92.67945024,425.9,107012995167.84,0,212.95,106.47,53.24,0.0
2036,00000000000000000000000000000000000000000000000000000000000007f4,237.02546139,53.34174901,0,118.5127307,59.25636535,29.62818267,135.27292766,957.59232589,0,67.63646383,33.81823191,16.90911596,400.7146306,6068.21918157,0,200.3573153,100.17865765,50.08932883,564.07,141727054606.58,0,282.04,141.02,70.51,0.0
2037,00000000000000000000000000000000000000000000000000000000000007f5,456.78204763,105.38253359,0,228.39102382,114.19551191,57.09775595,496.74342177,1891.82970793,0,248.37171088,124.18585544,62.09292772,644.23435174,11988.43914211,0,322.11717587,161.05858793,80.52929397,708.62,279997494833.74,0,354.31,177.16,88.58,0.0
2038,00000000000000000000000000000000000000000000000000000000000007f6,736.03487591,161.96461688,0,368.01743795,184.00871898,92.00435949,309.37116963,2907.59259069,0,154.68558481,77.34279241,38.6713962,0.10918747,18425.28250686,0,0.05459373,0.02729687,0.01364843,818.19,430333997809.9,0,409.1,204.55,102.27,0.0
